"pvalue";"logFC";"gene"
"1,29E-24";"3,886884515";"HLA-DRA"
"1,54E-22";"3,819377408";"CXCL9"
"2,21E-22";"3,813916048";"C1QB"
"1,11E-20";"3,753077785";"C1QC"
"1,17E-20";"3,75220542";"IDO1"
"2,97E-19";"3,698389617";"C1QA"
"3,86E-19";"3,693544784";"GBP5"
"4,23E-19";"3,691971348";"RGS1"
"8,09E-19";"3,680709154";"HLA-DRB5"
"9,55E-19";"3,67763479";"FYB1"
"1,68E-18";"3,667470645";"ALDH1A1"
"1,91E-18";"3,665208449";"ADH1C"
"2,38E-18";"3,661271814";"GBP4"
"2,70E-18";"3,65889783";"SRGN"
"4,36E-18";"3,650116315";"HLA-DQA1"
"1,10E-17";"3,632880044";"LYZ"
"2,55E-17";"3,616997933";"PTPRC"
"2,98E-17";"3,613981212";"MYEOV"
"3,04E-17";"3,613471698";"FCGR3A"
"1,24E-18";"3,611600039";"HLA-DPA1"
"1,54E-18";"3,607463694";"COL3A1"
"5,09E-17";"3,603477767";"AOC1"
"5,11E-17";"3,603413969";"FGL2"
"2,98E-16";"3,568244272";"CYBB"
"3,31E-16";"3,566256707";"CD163"
"3,76E-16";"3,563420896";"TYROBP"
"4,44E-16";"3,560179247";"PIEZO2"
"4,43E-16";"3,560077413";"GZMB"
"4,72E-16";"3,558766176";"MS4A6A"
"4,91E-16";"3,558312514";"MS4A7"
"5,48E-16";"3,555664171";"CXCR4"
"5,96E-16";"3,554081067";"GPRIN2"
"5,03E-17";"3,541287593";"COL1A2"
"1,26E-15";"3,538243783";"A2M"
"6,13E-17";"3,537390987";"HLA-DPB1"
"1,59E-15";"3,53329062";"SLAMF7"
"2,16E-15";"3,526963028";"TMEM176B"
"2,26E-15";"3,525786149";"TRIM31"
"2,52E-15";"3,5235494";"LILRB4"
"2,80E-15";"3,521178663";"POU3F3"
"4,26E-15";"3,512154849";"UGT3A1"
"4,60E-15";"3,510931083";"MXRA5"
"4,75E-15";"3,509745808";"CASP4"
"5,40E-15";"3,506896022";"ADA2"
"6,11E-15";"3,504150954";"ITGAL"
"1,02E-14";"3,492834978";"RHEX"
"6,14E-16";"3,490204457";"HLA-DQB1"
"1,40E-14";"3,485790757";"SLA"
"1,56E-14";"3,483351396";"NCKAP1L"
"1,60E-14";"3,483297674";"PRF1"
"1,63E-14";"3,48238646";"SULF2"
"2,46E-14";"3,473024057";"ADCYAP1"
"3,24E-14";"3,466757481";"LCP2"
"4,02E-14";"3,461728934";"PLEK"
"4,13E-14";"3,461624858";"SLCO2B1"
"4,10E-14";"3,461394472";"TMEM176A"
"4,30E-14";"3,460174651";"GZMA"
"1,97E-39";"3,459579795";"HLA-DRB1"
"4,53E-14";"3,458905347";"SERPINB9"
"6,92E-14";"3,449318571";"EPS8L3"
"7,05E-14";"3,448515377";"VSIG4"
"7,53E-14";"3,447307187";"GIMAP4"
"4,66E-15";"3,446003019";"SERPING1"
"9,35E-14";"3,441798726";"RTP4"
"1,03E-13";"3,439852148";"CD3E"
"8,49E-15";"3,432477562";"PTGIS"
"1,41E-13";"3,43220766";"CYTIP"
"1,47E-13";"3,431079009";"CCL4"
"1,59E-13";"3,429196756";"TIMP3"
"1,63E-13";"3,429178581";"INPP5D"
"2,05E-13";"3,4237653";"SPI1"
"2,48E-13";"3,418610804";"PRDM1"
"2,48E-13";"3,418569543";"DOK2"
"2,75E-13";"3,415901736";"GZMH"
"1,89E-14";"3,414102422";"TMEM47"
"3,55E-13";"3,409704006";"CD7"
"5,49E-13";"3,399134223";"LILRB1"
"6,38E-13";"3,395088578";"IRF8"
"6,67E-13";"3,39436974";"RASAL3"
"7,07E-13";"3,39249204";"DNAJC15"
"4,74E-14";"3,392202444";"NKG7"
"7,45E-13";"3,391421823";"GRAMD1B"
"7,73E-13";"3,391014991";"LRRK2"
"7,56E-13";"3,390860056";"TSPAN8"
"7,67E-13";"3,390813029";"CD2"
"7,94E-13";"3,389597427";"OR2I1"
"8,80E-13";"3,388477545";"SAMSN1"
"8,44E-13";"3,388112265";"CXCL10"
"9,10E-13";"3,386145293";"CD34"
"1,08E-12";"3,381922776";"C2CD4A"
"1,49E-12";"3,373613441";"GIMAP7"
"1,53E-12";"3,372938914";"GATA4"
"1,64E-12";"3,371560697";"PRKCB"
"1,62E-12";"3,371508157";"DOCK8"
"1,78E-12";"3,369399028";"LAIR1"
"1,35E-13";"3,366868018";"COL6A3"
"2,16E-12";"3,364717175";"CLEC2B"
"2,12E-12";"3,364605323";"PARVG"
"2,43E-12";"3,361107278";"GSTM4"
"2,67E-12";"3,358731912";"MS4A4A"
"2,87E-12";"3,356834716";"ANKRD22"
"3,33E-12";"3,352812073";"MPEG1"
"3,55E-12";"3,351721463";"EPSTI1"
"4,83E-23";"3,345694387";"LCP1"
"4,47E-12";"3,345152813";"PTPN7"
"3,17E-13";"3,344871701";"POSTN"
"4,89E-12";"3,342654199";"PDE4B"
"4,99E-12";"3,342140406";"CD38"
"5,59E-12";"3,340288785";"S100A9"
"5,84E-12";"3,338168183";"LAMA4"
"6,05E-12";"3,337228972";"CMKLR1"
"6,29E-12";"3,336245863";"FGR"
"6,68E-12";"3,335060476";"CXCL12"
"6,81E-12";"3,333895558";"CXCL1"
"7,19E-12";"3,332907792";"FGD2"
"9,97E-12";"3,323761716";"ABCG1"
"1,00E-11";"3,323623628";"EMC10"
"1,06E-11";"3,322073378";"HBB"
"1,16E-11";"3,319487614";"CXCL14"
"1,46E-11";"3,313235698";"CTLA4"
"1,48E-11";"3,312882789";"CYP2C9"
"1,53E-11";"3,311891617";"CD69"
"1,58E-11";"3,311073519";"ITM2A"
"1,21E-12";"3,310689194";"PCSK5"
"1,68E-11";"3,309637743";"VWF"
"1,71E-11";"3,309308032";"CASP1"
"2,12E-11";"3,30323734";"CCR5"
"2,30E-11";"3,301720977";"CD86"
"2,24E-11";"3,301471287";"IL2RG"
"2,81E-11";"3,298947691";"MGP"
"2,48E-11";"3,29875111";"PPP1R16B"
"2,88E-11";"3,294513373";"HCK"
"3,06E-11";"3,293254731";"TMPRSS3"
"3,27E-11";"3,291207407";"CCL2"
"2,49E-12";"3,290787811";"CD84"
"2,68E-12";"3,288571069";"CA9"
"3,73E-11";"3,287334163";"COL15A1"
"5,95E-31";"3,284106437";"LAPTM5"
"3,93E-12";"3,278523974";"PLCB2"
"6,03E-11";"3,274299737";"RCSD1"
"6,11E-11";"3,274189923";"PIK3R5"
"6,20E-11";"3,273809313";"MNDA"
"6,25E-11";"3,272712809";"CLRN3"
"6,45E-11";"3,271701368";"COL5A3"
"6,60E-11";"3,271608998";"PLA2G2D"
"7,82E-11";"3,266186118";"TPPP3"
"6,14E-12";"3,265981008";"KIF1A"
"8,15E-11";"3,26513884";"CD48"
"8,21E-11";"3,264795939";"SYK"
"8,67E-11";"3,263607825";"SORL1"
"9,10E-11";"3,261868305";"SASH3"
"7,05E-12";"3,261698934";"CD9"
"9,31E-11";"3,261187533";"SLC1A7"
"1,00E-10";"3,259071416";"JAML"
"1,07E-10";"3,257646662";"NFATC2"
"1,13E-10";"3,255471008";"CD93"
"9,30E-12";"3,254015153";"FAM83A"
"9,48E-12";"3,253614276";"CPVL"
"1,57E-10";"3,246042116";"IFNG"
"1,62E-10";"3,244984803";"ADAMDEC1"
"1,85E-10";"3,241904144";"COL23A1"
"1,99E-10";"3,240753906";"S100A8"
"5,14E-20";"3,240747959";"MAFB"
"1,99E-10";"3,239078571";"GIMAP6"
"2,21E-10";"3,23647984";"SH2D1A"
"2,33E-10";"3,234405218";"COBL"
"1,91E-11";"3,233916332";"STAB1"
"2,50E-10";"3,233076644";"KLHL6"
"2,77E-10";"3,229312219";"APOL4"
"2,77E-10";"3,229174195";"APOD"
"2,94E-10";"3,227345063";"BHMT2"
"1,35E-28";"3,226572953";"ARHGDIB"
"3,40E-10";"3,222944313";"PLA2G7"
"3,77E-10";"3,220477544";"PREX2"
"3,13E-11";"3,219144979";"AOAH"
"3,30E-11";"3,218238743";"TRAC"
"4,05E-10";"3,21773239";"PRRX1"
"4,41E-10";"3,215146987";"SNAP91"
"4,48E-10";"3,214701786";"FCGR1A"
"5,79E-10";"3,20717811";"CCR1"
"5,01E-19";"3,202401052";"DUSP4"
"5,14E-19";"3,202351646";"IFITM2"
"7,28E-10";"3,201624342";"TAGAP"
"9,30E-10";"3,194267852";"UGT2A3"
"8,74E-10";"3,194153368";"GPR183"
"8,83E-10";"3,193823054";"CRTAM"
"9,40E-10";"3,192353149";"IL1RN"
"9,91E-10";"3,190478081";"FAM131B"
"1,00E-09";"3,189829279";"NCF4"
"1,00E-09";"3,189829279";"FCGR2A"
"1,11E-09";"3,187787164";"GALC"
"1,18E-09";"3,185001579";"MX2"
"1,23E-09";"3,183552041";"GNA15"
"1,06E-10";"3,183470085";"CXCL13"
"1,23E-09";"3,183464949";"VWC2"
"1,39E-09";"3,179964879";"EOMES"
"1,22E-10";"3,176995944";"ANXA13"
"1,51E-09";"3,176978948";"PALD1"
"1,53E-09";"3,176798721";"FLI1"
"1,55E-09";"3,17628386";"ELMO1"
"1,62E-09";"3,174859933";"PRSS3"
"1,39E-10";"3,172940822";"UNC5B"
"1,72E-09";"3,172901862";"CCL18"
"1,51E-10";"3,17130474";"SCIN"
"1,84E-09";"3,171017536";"CD8B"
"1,51E-10";"3,170307438";"SUCNR1"
"1,92E-09";"3,169900504";"PARP15"
"1,70E-10";"3,168631129";"ARHGAP9"
"2,05E-09";"3,167449408";"GPR174"
"1,86E-10";"3,16464223";"HLA-DOA"
"2,30E-09";"3,163720319";"AKR1C1"
"2,31E-09";"3,163527868";"SATB1"
"2,40E-09";"3,163365893";"GZMK"
"2,42E-09";"3,162106469";"ST8SIA4"
"2,45E-09";"3,161912173";"CDH11"
"2,53E-09";"3,160772415";"IL2RA"
"2,66E-09";"3,160182716";"FPR3"
"4,12E-58";"3,158615939";"CCL5"
"2,71E-09";"3,158473217";"ARHGAP15"
"2,76E-09";"3,157908698";"IL12RB1"
"2,88E-09";"3,156446765";"WDR72"
"3,11E-09";"3,156209916";"SIRPG"
"3,14E-09";"3,155241559";"FOLR2"
"3,10E-09";"3,154702777";"MARCO"
"9,23E-18";"3,15427977";"IL10RA"
"2,68E-10";"3,15328428";"AIF1"
"3,24E-09";"3,152607112";"SLAMF6"
"3,35E-09";"3,151515284";"CCL4L2"
"2,82E-10";"3,151313266";"SPN"
"3,63E-09";"3,148900008";"KCNA3"
"3,74E-09";"3,148308332";"CLEC10A"
"3,04E-10";"3,148175849";"PRRX2"
"1,23E-17";"3,146822257";"EMP1"
"4,40E-09";"3,14338501";"CD3G"
"3,93E-10";"3,141595498";"LILRB2"
"4,71E-09";"3,141563703";"GIMAP1"
"4,94E-09";"3,139067591";"CCL3"
"5,17E-09";"3,13735243";"ADGRF5"
"5,36E-09";"3,136505766";"BATF"
"6,37E-09";"3,13049036";"CXCL11"
"1,60E-32";"3,127449806";"JCHAIN"
"7,65E-09";"3,124526165";"SNX20"
"7,76E-09";"3,12429216";"SLPI"
"7,04E-10";"3,121411294";"CD52"
"1,02E-08";"3,120993873";"CARD16"
"1,09E-08";"3,114646088";"ABCG8"
"1,11E-08";"3,112086705";"PI3"
"1,15E-08";"3,112047232";"ZBP1"
"9,39E-17";"3,11183357";"PECAM1"
"1,23E-08";"3,109248984";"CCNA1"
"1,38E-08";"3,104913504";"ICOS"
"1,58E-08";"3,104625248";"ADAM28"
"1,44E-08";"3,103404532";"PDE1A"
"1,61E-08";"3,099338708";"CASR"
"1,82E-08";"3,097569359";"MRC1"
"1,69E-08";"3,09752249";"EBF3"
"1,92E-08";"3,096006848";"STC1"
"1,79E-08";"3,095690234";"HID1"
"1,53E-09";"3,095065165";"VCAM1"
"1,85E-08";"3,094517648";"TNFSF12"
"2,00E-08";"3,094295192";"AQP9"
"2,72E-16";"3,094254345";"PREX1"
"1,99E-08";"3,094157954";"LAX1"
"1,95E-08";"3,093747735";"GCKR"
"1,93E-08";"3,09356988";"HLA-DQB2"
"1,95E-08";"3,093433643";"LPCAT2"
"1,98E-08";"3,092249672";"HNF4A"
"2,03E-08";"3,091743353";"SIGLEC14"
"2,04E-08";"3,09105764";"TBX21"
"1,74E-09";"3,090753162";"MMP2"
"2,25E-08";"3,088515206";"SLC47A1"
"2,31E-08";"3,087120066";"GGT5"
"2,35E-08";"3,086320033";"ADAMTS2"
"2,51E-08";"3,086132154";"GIMAP8"
"2,78E-08";"3,082050979";"ERBB4"
"2,35E-09";"3,079570688";"SULF1"
"3,10E-08";"3,078669934";"FAT3"
"2,71E-09";"3,075811621";"MEST"
"3,62E-08";"3,075123955";"LY6K"
"3,53E-08";"3,072288529";"WDFY4"
"3,56E-08";"3,071687303";"LY9"
"8,85E-16";"3,071349895";"LGALS9"
"3,80E-08";"3,070628724";"ZIC1"
"3,32E-09";"3,068441435";"IKZF1"
"4,13E-08";"3,066795592";"FCRL3"
"9,88E-30";"3,065924352";"EPHA7"
"4,49E-08";"3,064935787";"NCMAP"
"1,35E-15";"3,061428783";"CD4"
"5,01E-08";"3,061106917";"P2RX7"
"5,17E-08";"3,060786759";"WNT10A"
"4,97E-08";"3,060046105";"CD28"
"5,18E-08";"3,059777166";"TLR8"
"5,18E-08";"3,059777166";"LY86"
"5,16E-08";"3,059616751";"RNASE6"
"5,16E-08";"3,059616751";"CD244"
"5,16E-08";"3,05849656";"PNMA3"
"6,00E-08";"3,058107833";"TRIM15"
"4,49E-09";"3,057783043";"SPARCL1"
"1,68E-15";"3,056809267";"SIGLEC1"
"5,43E-08";"3,056774206";"SLAMF8"
"4,69E-09";"3,055816348";"EMB"
"5,87E-08";"3,055313178";"CCRL2"
"6,65E-08";"3,049860837";"CREB3L3"
"5,69E-09";"3,049711864";"LIPC"
"2,32E-15";"3,049543273";"IQGAP2"
"7,16E-08";"3,047561232";"HCST"
"5,92E-49";"3,047201996";"TPM2"
"7,16E-08";"3,046936082";"CLEC12A"
"8,80E-08";"3,041962325";"NFIA"
"8,37E-08";"3,041556839";"HAAO"
"6,98E-09";"3,040070116";"CCDC68"
"9,04E-08";"3,038340063";"CD300LF"
"9,17E-08";"3,037811686";"SSTR1"
"9,57E-08";"3,036447351";"ACKR4"
"9,60E-08";"3,036091903";"MEDAG"
"9,69E-08";"3,035736127";"KCNE3"
"1,14E-07";"3,035481308";"TNF"
"8,54E-09";"3,033620615";"CABP1"
"1,08E-07";"3,032249707";"AADAC"
"1,16E-07";"3,029019995";"ANK1"
"3,44E-28";"3,028299677";"CD53"
"1,01E-08";"3,028286489";"CSF2RB"
"8,25E-15";"3,025143553";"CSF3R"
"1,30E-07";"3,025048442";"DTHD1"
"1,39E-07";"3,022467953";"ACY3"
"1,50E-07";"3,019664707";"HLA-DQA1"
"1,56E-07";"3,018180781";"PIK3R6"
"1,28E-14";"3,01729394";"SAMD9L"
"1,40E-08";"3,015729432";"BCL2A1"
"1,68E-07";"3,015321587";"KLK11"
"1,68E-07";"3,015321587";"P2RY10"
"1,41E-08";"3,015240816";"CLEC7A"
"1,71E-07";"3,01492989";"FCRL6"
"1,46E-08";"3,014100308";"TFEC"
"1,87E-07";"3,013744228";"CDH5"
"1,88E-07";"3,012026302";"TREM2"
"1,72E-27";"3,010230593";"GLDC"
"8,43E-21";"3,007029258";"RUNX3"
"3,10E-27";"3,004801554";"MECOM"
"2,27E-07";"3,00473003";"RNF212"
"2,31E-07";"3,004381363";"MMP28"
"1,91E-08";"3,003841625";"TLR4"
"2,38E-07";"3,002520414";"EIF1AY"
"2,41E-07";"3,002312471";"CCL3L1"
"2,46E-07";"3,001333164";"NOD2"
"2,48E-07";"3,000706452";"GPR65"
"2,51E-07";"3,000287887";"HOPX"
"2,53E-07";"3,000078144";"ASPA"
"2,12E-33";"2,99991692";"TRIM22"
"2,63E-07";"2,998455094";"PDE1B"
"2,70E-07";"2,997608464";"PDGFRA"
"7,09E-27";"2,996563359";"TNFRSF1B"
"2,35E-08";"2,99441751";"CD300A"
"3,03E-07";"2,994100074";"LTBP1"
"2,51E-08";"2,993703831";"CYP2B6"
"3,21E-07";"2,993595828";"SAMD3"
"3,10E-07";"2,992367436";"F13A1"
"3,38E-07";"2,989369194";"PTPRN2"
"3,48E-07";"2,987665772";"FBP1"
